YEAR,ORISPL,PNAME,PSTATABB,PLPRMFL,PLHTIAN,PLNGENAN,NAMEPCAP,CAPFAC,PLCO2AN
2018,2723,Dan River,NC,NG,35573803,4962258,1085.7,0.52175,2114100.9
2018,2831,"Dynegy Dicks Creek, LLC",OH,NG,104425,3456.001,159.1,0.00248,6103.07
2018,2847,Frank M Tait Station,OH,NG,2049924,163803,304.6,0.06139,120946.2
2018,2848,O H Hutchings,OH,NG,1624,-461,446.6,0,94.914
2018,2854,Yankee Street,OH,NG,105970,7330.999,126.6,0.00661,6193.366
2018,2880,Richland Peaking Station,OH,NG,1408430,109143.999,450,0.02769,83701.4
2018,2903,Bryan (OH),OH,NG,42438,2437.001,39.3,0.00708,2483.032
2018,2909,West 41st Street,OH,NG,4083,333,32,0.00119,238.63
2018,2933,Oberlin (OH),OH,NG,13033,401,22,0.00208,779.698
2018,2935,Orrville,OH,NG,490592.671,31210,84.5,0.04216,39005.314
2018,2951,Horseshoe Lake,OK,NG,9374613,777651,974,0.09114,557121.7
2018,2953,Mustang,OK,NG,7743459,9522.003,1077.5,0.00101,460141.67
2018,2956,Seminole (2956),OK,NG,16070514,1355870,1724,0.08978,955046.8
2018,2964,Southwestern,OK,NG,7789926,610310,658,0.10588,462474.4
2018,2965,Tulsa,OK,NG,5683393,431029,443.2,0.11102,337754.9
2018,2966,Weleetka,OK,NG,495076,36494.001,163,0.02556,28934.483
2018,2986,Kingfisher,OK,NG,568,42,9.1,0.00053,33.196
2018,2991,Mangum,OK,NG,431.999,23,7.7,0.00034,25.249
2018,3006,Anadarko,OK,NG,14296238,1538375.999,534.9,0.32831,839683.995
2018,3008,Mooreland,OK,NG,1226099,97138,305,0.03636,72894.5
2018,3096,Brunot Island Power Station,PA,NG,418839,36208,416.4,0.00993,24891.5
2018,3113,Portland,PA,NG,93380,7935,621,0.00146,7577.3
2018,3120,Blossburg,PA,NG,37551,3778,24,0.01797,2194.651
2018,3131,Shawville,PA,NG,6395449,539245.999,632,0.0974,380078
2018,3132,Warren,PA,NG,206208,14371,137.1,0.01197,12051.729
2018,3138,New Castle,PA,NG,5056731,440386,424.4,0.11846,300513.3
2018,3161,Eddystone Generating Station,PA,NG,635486,44645,1568.8,0.00325,43964.7
2018,3176,Hunlock Creek Energy Center,PA,NG,4430765,548449,145.9,0.42912,263314
2018,3236,Manchester Street Station,RI,NG,15868011,1866081,515,0.41364,950166.3
2018,3250,Darlington County,SC,NG,3064328,230819.001,1045.8,0.0252,206215.8
2018,3264,W S Lee,SC,NG,25941862,3657335,1403.2,0.29754,1544262.4
2018,3281,Coit GT,SC,NG,20185,1123,39.2,0.00327,1179.702
2018,3285,Hagood,SC,NG,193926,23667,177.3,0.01524,14659.1
2018,3287,McMeekin,SC,NG,5781756,604699,293.6,0.23511,342797.9
2018,3291,Parr GT,SC,NG,115447,7275,83.8,0.00991,6747.246
2018,3295,Urquhart,SC,NG,16797850,2134978,758.9,0.32115,1004967.5
2018,3325,Ben French,SD,NG,71923,1003,135,0.00085,4563.647
2018,3338,Aberdeen Generating Station,SD,NG,438981,36674,111,0.03772,25964.8
2018,3344,Huron,SD,NG,318227,14186,57.9,0.02797,18775.2
2018,3393,Allen,TN,NG,26648684,3038161.004,2781.7,0.12468,1779139.8
2018,3405,John Sevier,TN,NG,34568391,4786949,1796.9,0.30411,2059402.4
2018,3406,Johnsonville,TN,NG,8440019,321911.996,2911.2,0.01262,501345.273
2018,3439,Laredo,TX,NG,1635719,173217,450.8,0.04386,97208.1
2018,3441,Nueces Bay,TX,NG,16690175,2172539,942.7,0.26308,991874.6
2018,3443,Victoria Power Station,TX,NG,8101559,1027601,712.9,0.16455,481462.6
2018,3452,Lake Hubbard,TX,NG,3314571,275420,927.5,0.0339,196980.1
2018,3453,Mountain Creek Generating Station,TX,NG,5281565,408655,958.3,0.04868,313887.6
2018,3456,Newman,TX,NG,31648766,3192531.43,882,0.4132,1880766.9
2018,3457,Lewis Creek,TX,NG,19699414,1996351,542.8,0.41985,1170715
2018,3459,Sabine,TX,NG,45243022,4191510,2051.2,0.23327,2688712.6
